,index,Make,Model,Year,Mileage,Fuel Type,Engine Size (Litres),Current Country of Reg.,Imported,Total Owners,Price
7752,8159,Skoda,Karoq,2018,"58,100 km",Petrol,1.0,Ireland,No,1.0,"€24,950"
7753,8160,Toyota,Hilux,2019,"60,850 mi",Diesel,2.4,United Kingdom,No,3.0,"£13,995"
7754,8161,BMW,5-Series,2018,"35,648 mi",Hybrid,2.0,Ireland,UK,2.0,"€29,990"
7755,8162,Opel,Insignia,2016,"149,678 mi",Diesel,1.6,Ireland,No,3.0,"€5,950"
7756,8163,Ford,Focus,2016,"192,000 km",Diesel,1.5,Ireland,Unknown,2.0,"€13,950"
7757,8164,Land Rover,Range Rover Sport,2020,"44,250 mi",Petrol Plug-in Hybrid,2.0,Ireland,No,3.0,"€64,950"
7758,8165,Nissan,Pulsar,2016,"167,000 km",Diesel,1.5,Ireland,No,2.0,"€6,250"
7759,8167,Skoda,Kodiaq,2018,"77,500 km",Diesel,2.0,Ireland,No,2.0,"€31,000"
7760,8168,Fiat,Doblo,2017,"18,100 mi",Diesel,1.6,Ireland,No,2.0,"€17,950"
7761,8169,Hyundai,i10,2019,"42,590 km",Petrol,1.0,Ireland,No,3.0,"€12,995"
7762,8170,Volkswagen,Polo,2016,"69,390 km",Petrol,1.2,Ireland,Unknown,1.0,"€13,750"
7763,8171,Audi,A3,2019,"68,996 km",Petrol,1.4,Ireland,No,1.0,"€28,950"
7764,8172,Mercedes-Benz,M-Class,2006,"231,000 km",Diesel,3.0,Ireland,No,5.0,"€4,450"
7765,8173,Audi,Q4 e-tron,2021,"45,236 km",Electric,1.6,Ireland,No,1.0,"€39,950"
7766,8174,Audi,Q5,2020,"46,354 mi",Petrol Plug-in Hybrid,2.0,Northern Ireland,No,1.0,"€47,995"
7767,8175,Audi,S1,2015,"108,000 mi",Petrol,2.0,Ireland,Unknown country,1.0,"€17,950"
7768,8176,Fiat,500,2016,"73,400 km",Petrol,1.2,Ireland,Unknown,2.0,"€10,950"
7769,8177,Hyundai,Getz,2006,"185,000 km",Petrol,1.1,Ireland,No,5.0,"€1,950"
7770,8178,SEAT,Ibiza,2017,"65,500 mi",Petrol,1.2,Ireland,UK,2.0,"€9,950"
7771,8179,Volkswagen,Polo,2015,"49,000 km",Petrol,1.2,Ireland,Unknown country,1.0,"€13,499"
7772,8180,Renault,Megane,2017,"142,000 km",Diesel,1.5,Ireland,No,4.0,"€13,950"
7773,8181,Mercedes-Benz,GLA-Class,2022,"32,500 km",Diesel,2.0,Ireland,No,1.0,"€52,950"
7774,8182,Ford,Focus,2008,"347,481 mi",Diesel,1.6,Ireland,UK,9.0,"€2,500"
7775,8183,Audi,A3,2019,"68,996 km",Petrol,1.4,Ireland,No,1.0,"€28,950"
7776,8184,Toyota,Corolla,2008,"235,000 km",Petrol,1.6,Ireland,No,6.0,"€1,300"
7777,8185,Volkswagen,Passat,2008,"223,000 mi",Diesel,1.9,Ireland,UK,2.0,"€2,550"
7778,8186,Land Rover,Discovery Sport,2016,"86,000 mi",Diesel,2.0,Northern Ireland,No,3.0,"£14,450"
7779,8187,Toyota,Yaris,2018,"68,650 km",Petrol,1.0,Ireland,No,1.0,"€12,950"
7780,8188,Volkswagen,Amarok,2014,"98,000 mi",Diesel,2.0,Ireland,No,4.0,"€21,000"
7781,8189,Volkswagen,Tiguan,2013,"280,000 km",Diesel,2.0,Ireland,No,3.0,"€9,250"
7782,8190,Skoda,Kodiaq,2022,"56,500 km",Diesel,2.0,Ireland,No,2.0,"€47,995"
7783,8191,Toyota,Yaris,2013,"16,000 km",Petrol,1.3,Ireland,Unknown,1.0,"€8,450"
7784,8192,BMW,i4,2023,"5,000 km",Electric,1.6,Ireland,No,2.0,"€63,950"
7785,8193,BMW,X3,2017,"135,720 mi",Diesel,2.0,Ireland,No,2.0,"€23,950"
7786,8194,Peugeot,3008,2020,"70,000 km",Diesel,1.5,Ireland,No,1.0,"€27,950"
7787,8195,BMW,X5,2018,"121,168 mi",Diesel,3.0,Ireland,No,3.0,"€69,950"
7788,8196,Nissan,Note,2016,"38,606 mi",Petrol,1.2,Ireland,No,1.0,"€11,950"
7789,8197,Mazda,6,2017,"170,946 km",Diesel,2.2,Ireland,No,2.0,"€13,950"
7790,8198,Fiat,Panda,2024,0 km,Petrol,1.0,Ireland,No,2.0,"€18,845"
7791,8199,Toyota,Yaris,2005,"138,000 mi",Petrol,1.0,Ireland,No,6.0,"€2,200"
7792,8200,Opel,Corsa,2018,"75,500 mi",Diesel,1.2,Ireland,No,4.0,"€8,000"
7793,8201,Audi,A5,2024,"2,500 km",Diesel,2.0,Ireland,No,1.0,"€59,900"
7794,8202,Opel,Insignia,2016,"114,000 mi",Diesel,1.6,Ireland,No,3.0,"€8,950"
7795,8203,Ford,Focus,2009,"181,205 mi",Diesel,1.8,Ireland,N. Ireland,2.0,"€3,950"
7796,8204,Volkswagen,Golf,2015,"87,000 km",Petrol,2.0,Ireland,No,4.0,"€26,000"
7797,8205,BMW,2-Series,2023,"2,948 km",Petrol,1.5,Ireland,No,2.0,"€40,950"
7798,8206,Peugeot,5008,2016,"145,000 km",Diesel,1.6,Ireland,No,2.0,"€9,600"
7799,8207,Opel,Insignia,2015,"154,699 km",Diesel,1.6,Ireland,UK,3.0,"€11,495"
7800,8208,Nissan,Qashqai,2023,"13,925 km",Petrol Hybrid,1.5,Ireland,No,1.0,"€39,495"
7801,8209,Opel,Mokka,2023,"5,500 km",Diesel,1.5,Ireland,No,2.0,"€30,750"
7802,8210,SEAT,Tarraco,2021,"107,980 km",Diesel,2.0,Ireland,No,1.0,"€36,495"
7803,8211,Toyota,Verso,2010,256 km,Diesel,2.0,Ireland,No,3.0,"€3,250"
7804,8212,SEAT,Leon,2018,"126,919 km",Diesel,1.6,Ireland,No,3.0,"€16,950"
7805,8213,Land Rover,Range Rover Evoque,2014,"236,307 km",Diesel,2.2,Ireland,No,1.0,"€14,750"
7806,8214,Honda,Civic,2019,"106,000 km",Diesel,1.6,Ireland,No,2.0,"€20,950"
7807,8215,Volkswagen,Polo,2015,"55,000 mi",Petrol,1.2,Ireland,Unknown country,2.0,"€12,900"
7808,8216,BMW,5-Series,2018,"89,600 mi",Petrol Plug-in Hybrid,2.0,Ireland,UK,1.0,"€29,950"
7809,8217,Honda,GRACE,2017,"94,000 km",Petrol Hybrid,1.5,Ireland,No,1.0,"€15,995"
7810,8218,Honda,VEZEL,2016,"102,188 km",Petrol Hybrid,1.5,Ireland,Unknown country,2.0,"€20,500"
7811,8219,Audi,Q7,2013,"233,000 km",Diesel,3.0,Ireland,No,1.0,"€19,990"
7812,8220,BMW,2-Series,2023,"6,993 km",Petrol,1.5,Ireland,No,2.0,"€40,950"
7813,8221,Opel,Mokka,2024,50 km,Diesel,1.5,Ireland,No,1.0,"€33,950"
7814,8222,Mitsubishi,Mirage,2012,"75,000 km",Petrol,1.0,Ireland,Unknown country,2.0,"€5,450"
7815,8223,Renault,Megane,2009,"178,000 km",Petrol,1.6,Ireland,No,4.0,"€1,999"
7816,8224,Nissan,Micra,2013,"69,720 km",Petrol,1.2,Ireland,No,2.0,"€8,950"
7817,8225,Peugeot,5008,2016,"199,000 km",Diesel,1.6,Ireland,No,2.0,"€13,950"
7818,8226,Audi,A3,2017,"119,000 mi",Diesel,2.0,United Kingdom,No,2.0,"£11,995"
7819,8227,Volkswagen,Polo,2019,"73,254 km",Petrol,1.0,Ireland,No,3.0,"€18,995"
7820,8228,Ford,Focus C-MAX,2006,"213,000 km",Petrol,1.6,Ireland,No,7.0,"€2,000"
7821,8229,BMW,3-Series,2013,"195,000 km",Diesel,2.0,Ireland,UK,5.0,"€7,950"
7822,8230,Volkswagen,Golf,2015,"268,000 km",Diesel,1.6,Ireland,No,4.0,"€11,950"
7823,8231,Volkswagen,Polo,2014,"60,000 mi",Petrol,1.2,Ireland,Unknown country,1.0,"€10,900"
7824,8232,Audi,Q3,2016,"34,000 mi",Petrol,1.4,Ireland,No,1.0,"€23,900"
7825,8233,Opel,Corsa,2024,0 km,Petrol,1.2,Ireland,No,2.0,"€25,845"
7826,8234,Nissan,Juke,2017,"141,000 km",Diesel,1.5,Ireland,No,2.0,"€11,995"
7827,8235,Kia,Ceed,2008,"174,600 mi",Diesel,1.6,Ireland,UK,5.0,"€2,600"
7828,8236,Volkswagen,Passat,2018,"169,000 mi",Diesel,2.0,Ireland,UK,1.0,"€15,950"
7829,8237,Volkswagen,Golf,2024,15 km,Petrol,1.5,Ireland,No,2.0,"€39,320"
7830,8238,Hyundai,Santa Fe,2006,345 km,Diesel,2.2,Ireland,No,10.0,"€2,780"
7831,8239,Volkswagen,Tiguan,2016,"153,000 km",Diesel,2.0,Ireland,No,2.0,"€15,950"
7832,8242,Nissan,Micra,2017,"80,932 km",Petrol,1.2,Ireland,No,1.0,"€11,950"
7833,8243,Toyota,Yaris,2020,"31,011 mi",Petrol,1.0,Ireland,No,2.0,"€16,950"
7834,8244,Opel,Corsa,2019,"123,020 km",Petrol,1.4,Ireland,No,1.0,"€13,890"
7835,8245,Audi,A4,2009,"310,000 km",Diesel,2.0,Ireland,No,7.0,"€3,450"
7836,8246,Volkswagen,Passat,2009,"160,000 mi",Diesel,2.0,Ireland,UK,1.0,"€2,800"
7837,8247,Skoda,Fabia,2015,"128,000 km",Petrol,1.2,Ireland,No,2.0,"€7,950"
7838,8248,Audi,A3,2016,"25,305 mi",Petrol,1.4,Ireland,No,2.0,"€17,950"
7839,8249,Nissan,Note,2016,"79,250 km",Petrol,1.2,Ireland,No,2.0,"€8,450"
7840,8250,Audi,A3,2017,"88,878 mi",Diesel,1.6,Ireland,No,1.0,"€20,995"
7841,8251,Ford,Focus,2012,"1,000 mi",Diesel,1.6,Ireland,No,3.0,"€1,000"
7842,8252,BMW,5-Series,2017,"91,000 km",Petrol Plug-in Hybrid,2.0,Ireland,UK,2.0,"€23,950"
7843,8253,Volkswagen,Scirocco,2017,"52,000 mi",Diesel,2.0,Ireland,No,1.0,"€18,000"
7844,8254,Ford,Grand C-MAX,2015,"132,000 km",Diesel,1.5,Ireland,UK,2.0,"€12,750"
7845,8255,Audi,A5,2014,"76,000 mi",Diesel,2.0,Ireland,UK,1.0,"€17,499"
7846,8256,Skoda,Yeti,2012,"150,000 mi",Diesel,2.0,Ireland,N. Ireland,1.0,"€6,900"
7847,8257,Mazda,6,2016,"110,000 mi",Diesel,2.2,Ireland,UK,1.0,"€10,950"
7848,8258,Mitsubishi,L200,2011,"238,000 km",Diesel,2.5,Ireland,UK,4.0,"€8,550"
7849,8259,Toyota,Starlet,1995,"135,000 mi",Petrol,1.3,Ireland,UK,9.0,"€10,500"
7850,8260,Ford,Galaxy,2016,"137,000 mi",Diesel,2.0,Ireland,UK,1.0,"€14,000"
7851,8261,Mini,Countryman,2021,"35,761 km",Petrol Plug-in Hybrid,1.5,United Kingdom,No,1.0,"€34,950"
7852,8262,Peugeot,508,2014,"149,000 mi",Diesel,1.6,Ireland,No,3.0,"€7,450"
7853,8263,Hyundai,KONA,2019,"112,382 km",Diesel,1.6,Ireland,No,2.0,"€19,450"
7854,8265,Citroen,C4 Cactus,2019,"39,303 km",Petrol,1.2,Ireland,No,2.0,"€18,995"
7855,8266,BMW,5-Series,2014,"102,000 mi",Diesel,2.0,Ireland,UK,4.0,"€13,750"
7856,8267,Nissan,Qashqai+2,2013,"128,000 mi",Diesel,1.5,Ireland,No,3.0,"€7,495"
7857,8268,Skoda,Rapid,2016,"126,337 km",Diesel,1.4,Ireland,No,2.0,"€10,000"
7858,8269,Volkswagen,Golf,2010,"175,172 mi",Diesel,1.6,Ireland,UK,5.0,"€6,950"
7859,8270,Mercedes-Benz,CLA-Class,2017,"48,172 mi",Petrol,1.6,Ireland,No,2.0,"€23,950"
7860,8271,Hyundai,Tucson,2021,"25,600 km",Diesel,1.6,Ireland,No,1.0,"€34,995"
7861,8272,Kia,Sportage,2021,"32,985 mi",Hybrid,1.6,Ireland,No,1.0,"€33,950"
7862,8273,Volkswagen,Polo,2018,"31,200 mi",Petrol,1.0,Ireland,No,2.0,"€17,950"
7863,8274,Citroen,Berlingo,2018,"51,568 mi",Diesel,1.6,Ireland,No,1.0,"€20,950"
7864,8275,Volvo,V40,2016,"128,000 mi",Diesel,2.0,Ireland,UK,1.0,"€12,500"
7865,8276,Volkswagen,Beetle,2014,"47,000 mi",Petrol,1.2,Other,No,1.0,"€13,900"
7866,8277,Volkswagen,Jetta,2012,"191,258 km",Diesel,1.6,Ireland,No,6.0,"€8,800"
7867,8278,Hyundai,Tucson,2019,"74,152 km",Diesel,1.6,Ireland,No,1.0,"€23,495"
7868,8280,Audi,A4,2017,"109,000 km",Diesel,2.0,Ireland,UK,1.0,"€25,800"
7869,8281,Mercedes-Benz,CLA-Class,2022,"25,000 km",Petrol Plug-in Hybrid,1.3,Ireland,No,1.0,"€47,450"
7870,8282,Audi,A1,2013,"130,345 km",Petrol,1.4,Ireland,No,2.0,"€10,750"
7871,8283,Opel,Mokka,2022,"27,000 mi",Petrol,1.2,Ireland,No,2.0,"€24,950"
7872,8284,Hyundai,i20,2020,"42,659 km",Petrol,1.2,Ireland,No,1.0,"€15,950"
7873,8285,Opel,Insignia,2018,"177,383 km",Diesel,1.6,Ireland,No,2.0,"€12,950"
7874,8286,Volkswagen,Beetle,2018,"47,196 mi",Petrol,1.2,Ireland,Unknown,0.0,"€19,950"
7875,8287,BMW,X3,2020,"84,557 km",Diesel,2.0,Ireland,No,1.0,"€46,950"
7876,8288,BMW,5-Series,2019,"102,401 mi",Diesel,2.0,Ireland,Unknown,1.0,"€37,950"
7877,8289,BMW,5-Series,2020,"57,148 mi",Petrol Plug-in Hybrid,2.0,United Kingdom,No,1.0,"€39,900"
7878,8290,Nissan,Serena,2017,"94,999 km",Hybrid,2.0,Ireland,No,2.0,"€21,950"
7879,8291,Volkswagen,Passat,2021,"105,236 km",Diesel,2.0,Ireland,No,2.0,"€28,950"
7880,8292,Volkswagen,Golf,2019,"74,144 mi",Petrol,1.0,Northern Ireland,No,2.0,"€18,900"
7881,8293,Mini,Cooper,2016,"99,000 km",Petrol,1.5,Ireland,No,2.0,"€15,950"
7882,8294,Nissan,Qashqai,2022,"10,500 km",Petrol,1.3,Ireland,No,1.0,"€32,995"
7883,8295,Kia,Ceed,2009,155 mi,Diesel,1.6,Ireland,UK,4.0,"€2,850"
7884,8296,Citroen,Berlingo,2007,"230,551 km",Diesel,1.6,Ireland,No,6.0,"€2,000"
7885,8298,BMW,3-Series,2008,"180,000 km",Petrol,2.0,Ireland,No,8.0,"€4,500"
7886,8299,Hyundai,Santa Fe,2015,"266,000 km",Diesel,2.2,Ireland,No,3.0,"€13,000"
7887,8300,Toyota,Vitz,2014,"57,548 mi",Petrol,1.0,Other,No,0.0,"€9,950"
7888,8301,Toyota,Corolla,2021,"50,661 km",Hybrid,1.8,Ireland,No,1.0,"€29,450"
7889,8302,Audi,A3,2021,"60,000 km",Petrol,1.5,Ireland,No,1.0,"€33,900"
7890,8303,BMW,5-Series,2020,"95,000 mi",Diesel Hybrid,2.0,Ireland,No,2.0,"€38,950"
7891,8304,Ford,Fiesta,2009,"210,000 mi",Diesel,1.4,Ireland,UK,1.0,"€2,500"
7892,8305,Volkswagen,Up!,2014,"55,780 km",Petrol,1.0,Ireland,Unknown country,1.0,"€8,950"
7893,8306,Lexus,CT,2011,"185,000 mi",Petrol Hybrid,1.8,Ireland,No,1.0,"€8,500"
7894,8307,SEAT,Arona,2019,"180,000 km",Diesel,1.6,Ireland,No,1.0,"€11,450"
7895,8308,BMW,5-Series,2014,"141,000 mi",Diesel,2.0,Ireland,Unknown,2.0,"€13,950"
7896,8309,Skoda,Octavia,2010,"209,000 km",Diesel,1.6,Ireland,No,2.0,"€3,150"
7897,8310,Peugeot,207,2012,"100,000 mi",Diesel,1.4,Ireland,UK,4.0,"€3,650"
7898,8311,Nissan,Juke,2017,"109,811 km",Petrol,1.2,Ireland,No,2.0,"€13,950"
7899,8312,BMW,i4,2022,"29,626 km",Electric,1.6,Ireland,No,2.0,"€58,950"
7900,8313,Peugeot,5008,2020,"91,000 km",Diesel,1.5,Ireland,No,1.0,"€34,950"
7901,8314,Mitsubishi,Mirage,2014,"55,852 mi",Petrol,1.0,Ireland,Unknown country,1.0,"€7,950"
7902,8315,BMW,iX1,2023,501 km,Electric,1.6,Ireland,No,2.0,"€63,950"
7903,8316,Ford,Transit,2020,"133,479 km",Diesel,2.0,Ireland,No,1.0,€123
7904,8317,Audi,A6,2022,"16,947 mi",Hybrid,2.0,United Kingdom,No,1.0,"€61,990"
7905,8318,Hyundai,Tucson,2024,10 km,Diesel,1.6,Ireland,No,2.0,"€43,500"
7906,8319,Volkswagen,Beetle,2013,"121,000 mi",Diesel,1.6,Ireland,No,4.0,"€9,950"
7907,8320,BMW,5-Series,2018,"113,000 km",Petrol Plug-in Hybrid,2.0,Ireland,UK,2.0,"€32,950"
7908,8321,Volkswagen,Golf,2013,"86,000 mi",Petrol,1.4,Ireland,Unknown country,2.0,"€10,995"
7909,8322,Volkswagen,Golf,2023,"21,532 km",Diesel,2.0,Ireland,No,1.0,"€33,950"
7910,8323,Audi,Q3,2014,"51,000 mi",Diesel,2.0,Northern Ireland,No,2.0,"£11,250"
7911,8324,Nissan,X-Trail,2011,"220,000 km",Diesel,2.0,Ireland,No,5.0,"€6,850"
7912,8325,Skoda,Superb,2014,"170,000 mi",Diesel,2.0,Ireland,UK,1.0,"€7,125"
7913,8326,Cupra,LEON,2024,10 km,Petrol,1.5,Ireland,No,2.0,"€41,950"
7914,8328,Ford,Transit Custom,2017,"165,762 km",Diesel,2.0,Ireland,No,1.0,"€12,900"
7915,8330,BMW,X4,2018,"115,021 km",Diesel,3.0,Ireland,No,2.0,"€32,900"
7916,8331,Mercedes-Benz,C-Class,2009,"131,000 mi",Diesel,2.1,Ireland,No,3.0,"€4,950"
7917,8332,Mercedes-Benz,EQA,2024,10 km,Electric,1.6,Ireland,No,2.0,"€56,115"
7918,8333,Audi,A4,2011,"197,000 km",Diesel,2.0,Ireland,N. Ireland,5.0,"€6,850"
7919,8334,BMW,X5,2020,"79,243 mi",Petrol Plug-in Hybrid,3.0,Ireland,UK,1.0,"€69,995"
7920,8335,Kia,Sportage,2024,10 km,Diesel,1.6,Ireland,No,2.0,"€43,850"
7921,8336,Volkswagen,Polo,2017,"47,801 km",Petrol,1.2,Ireland,No,1.0,"€14,450"
7922,8337,Hyundai,Tucson,2017,"237,000 km",Diesel,1.7,Ireland,No,3.0,"€14,900"
7923,8338,Skoda,Octavia,2016,"207,367 km",Diesel,2.0,Ireland,UK,2.0,"€16,750"
7924,8339,Opel,Insignia,2018,"166,000 km",Diesel,1.6,Ireland,No,2.0,€0
7925,8340,BMW,X3,2013,"235,000 km",Diesel,2.0,Ireland,No,4.0,"€18,250"
7926,8341,Nissan,Qashqai,2016,"102,000 km",Petrol,1.2,Ireland,No,2.0,"€16,950"
7927,8342,Volkswagen,Passat,2016,"133,000 km",Diesel,1.6,Ireland,No,1.0,"€16,995"
7928,8343,Peugeot,Partner,2018,"23,125 mi",Diesel,1.6,Ireland,No,1.0,"€19,750"
7929,8344,Opel,Corsa,2022,"20,000 km",Electric,1.6,Ireland,No,1.0,"€24,950"
7930,8345,Toyota,GT86,2014,"82,000 mi",Petrol,2.0,Ireland,UK,1.0,"€22,000"
7931,8346,Ford,Focus,2012,"185,000 mi",Diesel,1.6,Ireland,UK,4.0,"€4,900"
7932,8347,Lexus,CT,2017,"53,000 mi",Petrol Hybrid,1.8,Ireland,No,1.0,"€21,900"
7933,8348,Mini,Cooper,2020,"28,798 km",Electric,1.6,Ireland,No,2.0,"€22,950"
7934,8349,Renault,Megane,2015,"75,000 km",Diesel,1.5,Ireland,No,2.0,"€8,500"
7935,8350,Skoda,ENYAQ,2022,"5,400 km",Electric,1.6,Ireland,No,2.0,"€35,950"
7936,8351,Volkswagen,ID.4,2021,"46,500 km",Electric,1.6,Ireland,No,1.0,"€26,950"
7937,8352,Suzuki,Swift,2015,"130,000 km",Petrol,1.2,Ireland,No,3.0,"€7,995"
7938,8353,Volkswagen,Golf,2014,"194,000 mi",Diesel,2.0,Ireland,UK,2.0,"€8,950"
7939,8354,Suzuki,Ignis,2022,"75,119 km",Petrol,1.2,Ireland,No,1.0,"€18,900"
7940,8355,Volkswagen,Up!,2017,"105,200 km",Petrol,1.0,Ireland,No,2.0,"€9,950"
7941,8356,Hyundai,i10,2021,"29,210 km",Petrol,1.0,Ireland,No,1.0,"€19,995"
7942,8358,Skoda,Kodiaq,2020,"84,378 km",Diesel,2.0,Ireland,No,2.0,"€35,995"
7943,8359,Volkswagen,Crafter,2024,4 km,Diesel,2.0,Ireland,No,2.0,"€55,795"
7944,8360,Hyundai,ix20,2015,"62,367 mi",Diesel,1.4,Ireland,No,3.0,"€9,950"
7945,8361,Volkswagen,Passat,2020,"97,426 mi",Diesel,2.0,Ireland,No,1.0,"€25,750"
7946,8362,Skoda,Kodiaq,2019,"91,000 mi",Diesel,2.0,Northern Ireland,No,1.0,"€28,850"
7947,8363,Ford,Transit Custom,2021,"72,000 mi",Diesel,2.0,Ireland,No,1.0,"€28,374"
7948,8364,BMW,iX3,2024,1 km,Electric,1.6,Ireland,No,2.0,"€84,936"
7949,8365,Mitsubishi,Outlander,2015,"147,000 mi",Petrol Plug-in Hybrid,2.0,Ireland,UK,2.0,"€12,000"
7950,8366,Land Rover,Range Rover Evoque,2013,"125,000 mi",Diesel,2.2,Ireland,UK,3.0,"€17,950"
7951,8367,Skoda,Superb,2016,"217,000 km",Diesel,1.6,Ireland,No,2.0,"€10,950"
7952,8368,Volkswagen,Passat,2014,"97,000 km",Petrol,1.4,Ireland,Unknown country,1.0,"€11,990"
7953,8369,Toyota,Corolla,2005,"343,182 km",Petrol,1.4,Ireland,No,4.0,"€2,500"
7954,8370,Volvo,XC60,2018,"91,800 km",Diesel,2.0,Ireland,UK,2.0,"€37,900"
7955,8371,Mercedes-Benz,A-Class,2014,"68,000 mi",Petrol,1.6,Ireland,Unknown,2.0,"€16,495"
7956,8372,Audi,A6,2015,"102,705 km",Diesel,3.0,Ireland,No,3.0,"€28,500"
7957,8373,Volvo,XC60,2016,"119,326 km",Diesel,2.0,Ireland,UK,1.0,"€22,999"
7958,8374,Ford,C-MAX,2012,"110,367 mi",Diesel,1.6,Ireland,No,3.0,"€6,950"
7959,8375,Volkswagen,Golf,2018,"82,000 km",Petrol,1.0,Ireland,UK,1.0,"€19,995"
7960,8376,Volkswagen,Passat,2014,"284,000 km",Diesel,2.0,Ireland,No,3.0,"€6,995"
7961,8377,Volkswagen,Passat,2014,"274,000 km",Diesel,2.0,Ireland,No,2.0,"€7,550"
7962,8378,Toyota,Vitz,2014,"115,000 km",Petrol,1.0,Ireland,Unknown country,1.0,"€7,950"
7963,8379,Volkswagen,Scirocco,2011,"138,507 mi",Petrol,1.4,Ireland,UK,1.0,"€8,000"
7964,8380,Volkswagen,Golf,2005,"154,800 mi",Petrol,1.4,Ireland,No,6.0,"€2,550"
7965,8381,Volkswagen,Golf,2014,"102,000 km",Petrol,1.4,Ireland,Unknown country,1.0,"€13,750"
7966,8382,Suzuki,Vitara,2018,"82,000 km",Petrol,1.6,Ireland,N. Ireland,2.0,"€16,950"
7967,8383,Ford,Fiesta,2019,"76,898 km",Petrol,1.1,Ireland,No,2.0,"€13,750"
7968,8384,Opel,Corsa,2012,"190,000 km",Petrol,1.2,Ireland,No,2.0,"€4,750"
7969,8385,Ford,Focus,2008,"214,496 km",Petrol,1.4,Ireland,No,11.0,"€2,450"
7970,8386,Skoda,Kodiaq,2018,"163,500 km",Diesel,2.0,Ireland,No,2.0,"€28,995"
7971,8387,Volkswagen,Tiguan,2013,"69,989 km",Diesel,2.0,Ireland,No,2.0,"€13,995"
7972,8388,BMW,5-Series,2021,"13,000 mi",Petrol Plug-in Hybrid,2.0,Ireland,UK,1.0,"€39,950"
7973,8389,Suzuki,Swift,2010,"139,000 km",Petrol,1.3,Ireland,UK,5.0,"€3,900"
7974,8390,Mercedes-Benz,E-Class,2005,"90,021 mi",Petrol,1.8,Ireland,No,2.0,"€1,350"
7975,8391,Volkswagen,Polo,2014,"131,500 km",Petrol,1.0,Ireland,No,5.0,"€9,000"
7976,8392,Toyota,Corolla,2012,"226,000 km",Diesel,1.4,Ireland,No,4.0,"€6,250"
7977,8393,Hyundai,i20,2015,"85,740 mi",Petrol,1.4,Ireland,N. Ireland,2.0,"€11,495"
7978,8394,Mercedes-Benz,E-Class,2011,"145,000 mi",Diesel,2.1,Ireland,No,5.0,"€7,750"
7979,8395,Hyundai,Tucson,2017,"101,000 mi",Diesel,1.7,Ireland,UK,2.0,"€16,950"
7980,8396,Mercedes-Benz,E-Class,2014,"127,999 km",Diesel,2.1,Ireland,UK,3.0,"€16,950"
7981,8397,Hyundai,i30,2016,"174,500 km",Diesel,1.6,Ireland,No,3.0,"€10,900"
7982,8398,Audi,A6,2015,"142,000 mi",Diesel,2.0,Ireland,UK,1.0,"€22,800"
7983,8399,Citroen,C4,2022,"19,063 km",Petrol,1.2,Ireland,No,1.0,"€27,900"
7984,8400,Toyota,C-HR,2021,"43,777 km",Hybrid,1.8,Ireland,No,1.0,"€29,950"
7985,8401,Vauxhall,Mokka,2013,"136,000 mi",Diesel,1.7,Ireland,UK,2.0,"€6,250"
7986,8402,Volkswagen,Golf,2015,"186,000 km",Petrol,1.2,Ireland,No,1.0,"€10,450"
7987,8403,Nissan,Juke,2023,100 km,Petrol,1.6,Ireland,No,2.0,"€31,425"
7988,8404,Ford,Focus,2012,"271,000 km",Diesel,1.6,Ireland,No,3.0,"€4,500"
7989,8405,Honda,CR-V,2008,"114,000 mi",Diesel,2.2,Ireland,UK,4.0,"€6,000"
7990,8406,Mercedes-Benz,E-Class,2014,"241,839 km",Diesel,3.0,Ireland,UK,3.0,"€21,950"
7991,8407,Renault,Clio,2016,"95,000 km",Petrol,1.1,Ireland,No,2.0,"€10,990"
7992,8408,Volkswagen,Passat,2016,"253,000 km",Diesel,2.0,Ireland,No,2.0,"€15,300"
7993,8409,Volkswagen,Passat,2012,"287,000 km",Diesel,2.0,Ireland,UK,1.0,"€4,750"
7994,8410,Fiat,500X,2016,"46,694 mi",Petrol,1.6,Ireland,N. Ireland,1.0,"€11,950"
7995,8411,Mercedes-Benz,CL-Class,2003,"114,000 mi",Petrol,5.5,Ireland,No,2.0,"€19,900"
7996,8412,Toyota,Corolla,2005,"211,833 km",Petrol,1.4,Ireland,No,4.0,"€2,000"
7997,8413,Honda,VEZEL,2020,"21,416 mi",Hybrid,1.5,Ireland,No,2.0,"€27,950"
7998,8414,Toyota,Auris,2016,"181,998 km",Diesel,1.4,Ireland,No,2.0,"€12,950"
7999,8415,Jaguar,XE,2015,"127,000 mi",Diesel,2.0,Ireland,N. Ireland,1.0,"€5,500"
8000,8416,Volvo,V60,2016,"148,000 mi",Diesel,2.0,Ireland,UK,1.0,"€12,850"
8001,8417,BMW,5-Series,2012,"176,000 mi",Diesel,2.0,Ireland,UK,6.0,"€12,000"
8002,8419,Dacia,Logan,2016,"87,700 km",Petrol,1.1,Ireland,No,2.0,"€7,650"
8003,8420,Citroen,DS 3,2017,"101,489 km",Petrol,1.2,Ireland,No,1.0,"€10,950"
8004,8421,Hyundai,Tucson,2021,"74,109 km",Diesel,1.6,Ireland,No,1.0,"€34,950"
8005,8422,Mini,Cooper,2011,"110,000 mi",Petrol,1.6,Ireland,Unknown country,2.0,"€5,999"
8006,8423,BMW,2-Series,2019,"40,855 mi",Petrol,1.5,Northern Ireland,No,1.0,"€27,950"
8007,8424,Peugeot,Partner,2018,"29,774 mi",Diesel,1.6,Ireland,No,1.0,"€19,950"
