,index,Make,Model,Year,Mileage,Fuel Type,Engine Size (Litres),Current Country of Reg.,Imported,Total Owners,Price
139,147,BMW,5-Series,2024,25 km,Diesel,2.0,Ireland,No,2.0,"€81,010"
140,148,Volkswagen,Golf,2017,"87,000 km",Petrol,1.2,Other,No,1.0,"€17,995"
141,149,Toyota,Auris,2014,"123,934 km",Petrol,1.3,Ireland,UK,1.0,"€9,700"
142,150,Toyota,Corolla,2016,"85,000 km",Petrol,1.3,Ireland,No,2.0,"€14,995"
143,151,Volkswagen,Polo,2016,"18,000 mi",Petrol,1.2,Ireland,No,1.0,"€13,900"
144,152,Toyota,C-HR,2022,"48,000 km",Hybrid,1.8,Ireland,No,1.0,"€33,495"
145,153,BMW,5-Series,2009,"174,000 mi",Diesel,2.0,Ireland,No,2.0,"€7,000"
146,154,Mercedes-Benz,GLC-Class,2022,"44,879 km",Diesel Plug-in Hybrid,2.0,Ireland,No,1.0,"€66,895"
147,155,Renault,Megane,2012,"190,000 km",Diesel,1.5,Ireland,No,7.0,"€2,250"
148,156,Audi,A3,2015,"208,973 km",Diesel,1.6,Ireland,UK,1.0,"€15,950"
149,157,Peugeot,5008,2018,"115,365 km",Diesel,1.6,Ireland,No,2.0,"€30,995"
150,158,BMW,X5,2020,"88,000 km",Diesel,3.0,Ireland,No,3.0,"€75,000"
151,160,Nissan,X-Trail,2020,"62,500 km",Diesel,1.7,Ireland,No,2.0,"€33,500"
152,161,Nissan,Qashqai+2,2013,"146,191 mi",Diesel,1.5,Ireland,No,3.0,"€8,995"
153,162,BMW,5-Series,2024,15 km,Diesel,2.0,Ireland,No,2.0,"€74,413"
154,163,Volkswagen,Golf,2012,"155,000 mi",Diesel,1.6,Ireland,UK,3.0,"€6,495"
155,164,BMW,5-Series,2020,"89,000 km",Diesel,2.0,Ireland,UK,1.0,"€39,950"
156,165,Nissan,Note,2017,"70,000 mi",Petrol Hybrid,1.2,Ireland,Unknown country,1.0,"€11,300"
157,166,BMW,5-Series,2021,"27,158 km",Petrol Plug-in Hybrid,2.0,Ireland,No,2.0,"€52,000"
158,167,Hyundai,ix35,2011,"133,000 mi",Diesel,1.7,Ireland,N. Ireland,3.0,"€6,200"
159,168,Mercedes-Benz,CLS-Class,2019,"65,702 km",Diesel,2.0,Ireland,No,1.0,"€48,950"
160,169,Infiniti,Q50,2016,"83,000 km",Diesel,2.1,Ireland,N. Ireland,1.0,"€17,900"
161,170,BMW,3-Series,2008,"102,000 mi",Petrol,2.0,Ireland,No,3.0,"€6,950"
162,171,Vauxhall,Insignia,2015,"140,000 mi",Diesel,2.0,Ireland,UK,3.0,"€4,500"
163,172,Volkswagen,T-Roc,2021,"57,141 mi",Diesel,2.0,Ireland,No,2.0,"€24,950"
164,173,Tesla,MODEL 3,2021,"79,000 km",Electric,1.6,Ireland,No,2.0,"€37,950"
165,174,Audi,A3,2015,"75,575 km",Petrol,1.4,Ireland,No,2.0,"€16,450"
166,175,BMW,M2,2017,"75,999 km",Petrol,3.0,Ireland,No,3.0,"€49,995"
167,176,Volkswagen,ID.3,2021,"59,000 km",Electric,1.6,Ireland,No,1.0,"€22,000"
168,178,Porsche,Cayenne,2020,"51,800 mi",Petrol Plug-in Hybrid,3.0,Ireland,UK,1.0,"€74,950"
169,179,Ford,Focus,2008,"164,000 mi",Petrol,1.4,Ireland,No,4.0,"€2,400"
170,180,Nissan,Leaf,2018,"54,500 mi",Electric,1.6,Ireland,UK,3.0,"€14,995"
171,181,Opel,Astra,2016,"94,648 km",Diesel,1.6,Ireland,No,2.0,€1
172,182,Toyota,RAV4,2021,"43,556 km",Hybrid,2.5,Ireland,No,1.0,"€42,000"
173,183,Ford,Focus,2023,"22,000 km",Petrol,1.0,Ireland,No,1.0,"€35,950"
174,184,Volkswagen,Golf,2014,"213,455 km",Diesel,1.6,Ireland,UK,2.0,"€8,780"
175,185,Fiat,500,2015,"95,300 km",Petrol,1.2,Ireland,Unknown country,2.0,"€11,750"
176,186,Nissan,Juke,2013,"105,000 mi",Diesel,1.5,Ireland,UK,2.0,"€8,450"
177,188,Land Rover,Range Rover Sport,2020,"89,190 km",Diesel,3.0,Ireland,No,3.0,"€74,950"
178,189,Land Rover,Range Rover Sport,2024,100 mi,Petrol Plug-in Hybrid,3.0,Ireland,Unknown,0.0,"€129,268"
179,190,Skoda,Yeti,2016,"161,000 km",Diesel,2.0,Ireland,No,2.0,"€15,850"
180,191,Hyundai,Tucson,2021,"69,987 km",Diesel,1.6,Ireland,No,2.0,"€30,555"
181,192,Mazda,3,2010,"171,219 km",Diesel,1.6,Ireland,No,5.0,"€5,995"
182,193,Mitsubishi,Lancer,2003,"100,000 mi",Petrol,2.0,Ireland,Unknown country,0.0,"€29,995"
183,194,BMW,5-Series,2021,"73,597 km",Petrol Plug-in Hybrid,2.0,Ireland,No,1.0,"€40,875"
184,195,Ford,Fiesta,2008,"83,671 km",Petrol,1.2,Ireland,No,4.0,"€3,000"
185,196,Renault,Grand Scenic,2010,"186,000 mi",Diesel,1.5,Ireland,UK,12.0,"€1,950"
186,197,Volkswagen,Passat,2014,"234,494 km",Diesel,1.6,Ireland,No,2.0,"€9,995"
187,198,BMW,5-Series,2009,"190,000 mi",Diesel,2.0,Ireland,UK,1.0,"€4,650"
188,199,BMW,3-Series,2016,"123,000 km",Petrol Plug-in Hybrid,2.0,Ireland,UK,1.0,"€20,750"
189,200,Nissan,Note,2017,"70,911 mi",Hybrid,1.2,Ireland,No,1.0,"€11,995"
190,201,Vauxhall,Mokka,2023,"9,095 km",Electric,1.6,Northern Ireland,No,1.0,"€28,950"
191,202,Land Rover,Discovery,2018,"78,500 mi",Diesel,3.0,Ireland,No,2.0,"€32,520"
192,203,Skoda,Superb,2019,"220,000 km",Diesel,2.0,Ireland,No,1.0,"€17,950"
193,204,Ford,S-MAX,2016,"113,093 mi",Diesel,2.0,Ireland,UK,1.0,"€19,950"
194,205,Nissan,Qashqai,2020,"49,984 km",Petrol,1.3,Ireland,No,1.0,"€24,450"
195,206,Ford,Focus,2015,"98,533 mi",Diesel,2.0,Ireland,No,3.0,"€12,950"
196,207,Mercedes-Benz,E-Class,2010,"127,000 km",Diesel,2.1,Ireland,No,4.0,"€9,999"
197,208,Audi,A3,2015,"36,100 mi",Petrol,1.4,Ireland,No,1.0,"€17,899"
198,209,Ford,Focus,2017,"75,000 mi",Diesel,1.5,Ireland,UK,1.0,"€16,000"
199,210,Nissan,Qashqai,2010,"223,826 km",Petrol,1.6,Ireland,No,3.0,"€3,500"
200,211,BMW,5-Series,2019,"108,439 km",Diesel,2.0,Ireland,No,2.0,"€37,400"
201,212,Nissan,Note,2017,"41,869 mi",Hybrid,1.2,Ireland,No,2.0,"€13,950"
202,213,Toyota,Corolla,2021,"46,800 km",Hybrid,1.8,Ireland,No,1.0,"€27,950"
203,214,Volvo,XC90,2014,"223,008 km",Diesel,2.4,Ireland,No,3.0,"€15,995"
204,215,SEAT,Ateca,2020,"55,000 mi",Diesel,2.0,Northern Ireland,No,1.0,"€30,950"
205,216,Nissan,Qashqai,2015,"130,000 km",Diesel,1.5,Ireland,No,3.0,"€10,995"
206,217,Kia,Ceed,2015,"225,000 km",Diesel,1.4,Ireland,No,2.0,"€10,950"
207,218,Volkswagen,Golf,2012,"210,000 km",Diesel,1.6,Ireland,No,4.0,"€5,850"
208,219,Jaguar,X-Type,2008,"79,900 mi",Diesel,2.2,Ireland,No,4.0,"€3,600"
209,220,Honda,CR-V,2018,"81,796 km",Diesel,1.6,Ireland,Unknown,2.0,"€19,950"
210,222,Volkswagen,Golf,2019,"40,000 km",Electric,1.6,Ireland,No,2.0,"€17,995"
211,223,Ford,Galaxy,2011,"200,000 km",Diesel,2.0,Ireland,No,3.0,"€5,500"
212,225,Mitsubishi,Mirage,2018,"30,000 mi",Petrol,1.2,Ireland,Unknown,1.0,"€10,999"
213,226,BMW,2-Series,2023,"5,526 km",Petrol,1.5,Ireland,No,2.0,"€40,950"
214,227,Skoda,Octavia,2021,"45,000 km",Diesel,2.0,Ireland,No,1.0,"€41,995"
215,228,Hyundai,i10,2023,"1,164 km",Petrol,1.0,Ireland,No,1.0,"€21,350"
216,230,Toyota,RAV4,2018,"106,848 km",Petrol Hybrid,2.5,Ireland,No,2.0,"€25,900"
217,231,Volkswagen,Golf,2014,"42,000 km",Petrol,1.2,Ireland,Unknown,1.0,"€13,450"
218,232,Toyota,Prius,2017,"78,543 mi",Petrol Hybrid,1.8,Ireland,Unknown country,1.0,"€16,650"
219,233,BMW,3-Series,2016,"63,687 km",Petrol Plug-in Hybrid,2.0,Ireland,UK,1.0,"€20,900"
220,234,Volvo,XC40,2020,"93,677 mi",Diesel,2.0,Ireland,No,2.0,"€32,950"
221,235,Volkswagen,Tiguan,2015,"173,472 km",Diesel,2.0,Ireland,No,3.0,"€13,500"
222,236,Mazda,CX-60,2023,"15,118 km",Petrol Plug-in Hybrid,2.5,Ireland,No,2.0,"€55,900"
223,237,Toyota,Corolla,2021,"83,000 km",Petrol Hybrid,1.8,Ireland,No,1.0,"€25,995"
224,238,Volkswagen,T-CROSS,2022,"55,780 km",Petrol,1.0,Ireland,No,1.0,"€22,600"
225,239,Audi,TT,2004,"152,500 mi",Petrol,1.8,Ireland,No,2.0,"€3,950"
226,240,Kia,Stonic,2019,"67,000 km",Petrol,1.4,Ireland,No,1.0,"€18,900"
227,241,BMW,3-Series,2023,"5,494 km",Petrol Plug-in Hybrid,2.0,Ireland,No,2.0,"€59,950"
228,242,Citroen,C4,2015,"240,000 km",Diesel,1.6,Ireland,No,2.0,"€8,950"
229,243,Toyota,Auris,2014,"60,275 mi",Diesel,1.4,Ireland,No,3.0,"€12,500"
230,244,SEAT,Leon,2015,"196,360 km",Diesel,1.6,Ireland,No,1.0,"€11,950"
231,245,Porsche,TAYCAN,2021,"26,500 km",Electric,1.6,Ireland,No,2.0,"€95,950"
232,246,Renault,Captur,2022,"19,779 km",Petrol,1.0,Ireland,No,1.0,"€25,900"
233,247,BMW,5-Series,2015,"152,000 mi",Diesel,2.0,Ireland,No,4.0,"€13,750"
234,248,Skoda,Fabia,2017,"71,184 mi",Petrol,1.0,Ireland,Unknown,1.0,"€9,970"
235,249,Volkswagen,Golf,2024,4 km,Petrol,2.0,Ireland,No,2.0,"€58,880"
236,250,BMW,5-Series,2019,"59,797 mi",Petrol Hybrid,2.0,Ireland,No,1.0,"€34,950"
237,251,Mazda,6,2013,"300,000 km",Diesel,2.2,Ireland,UK,4.0,"€2,500"
238,252,Opel,Astra,2015,"100,000 km",Diesel,1.6,Ireland,No,3.0,"€10,950"
239,253,Ford,Focus,2008,"159,000 mi",Diesel,1.8,Ireland,UK,5.0,"€2,550"
240,254,Opel,Crossland X,2022,"26,000 km",Diesel,1.5,Ireland,No,1.0,"€25,500"
241,255,Toyota,Corolla,2006,"150,000 mi",Petrol,1.4,Ireland,No,3.0,"€1,150"
242,256,BMW,5-Series,2015,"236,000 km",Diesel,2.0,Ireland,No,2.0,"€12,950"
243,257,Nissan,Qashqai,2012,"260,000 km",Diesel,1.5,Ireland,No,6.0,"€7,500"
244,258,Nissan,Note,2019,"53,597 km",Petrol,1.2,Ireland,No,1.0,"€13,900"
245,259,Audi,A5,2018,"184,500 km",Diesel,2.0,Ireland,No,1.0,"€24,950"
246,260,Toyota,Yaris,2023,"27,701 km",Hybrid,1.5,Ireland,No,1.0,"€26,450"
247,261,Mitsubishi,Outlander,2017,"63,000 mi",Petrol Plug-in Hybrid,2.0,Ireland,UK,2.0,"€22,940"
248,262,BMW,X5,2018,"120,000 km",Diesel,2.0,Ireland,No,3.0,"€46,000"
249,263,Mercedes-Benz,GLB Class,2022,"46,247 km",Diesel,2.0,Ireland,No,1.0,"€52,950"
250,264,Toyota,Yaris,2021,"45,829 km",Hybrid,1.5,Ireland,No,1.0,"€22,950"
251,265,Honda,Shuttle,2015,"106,186 km",Petrol Hybrid,1.5,Ireland,Unknown country,0.0,"€12,750"
252,266,Toyota,Avensis,2016,"153,548 mi",Diesel,2.0,Ireland,UK,1.0,€1
253,267,Ford,Fiesta,2015,"51,000 mi",Petrol,1.0,Northern Ireland,No,2.0,"€10,450"
254,268,Fiat,Panda,2011,"107,000 km",Petrol,1.2,Ireland,No,3.0,"€3,000"
255,269,Ford,Focus,2012,"84,633 mi",Petrol,1.0,Ireland,N. Ireland,1.0,"€8,450"
256,270,Ford,Mondeo,2012,"328,500 km",Diesel,1.6,Ireland,No,1.0,"€5,000"
257,271,Volkswagen,Golf,2013,"172,000 km",Diesel,2.0,Ireland,No,4.0,"€10,950"
258,272,Lexus,CT,2012,"125,000 km",Petrol Hybrid,1.8,Ireland,No,3.0,"€10,995"
259,273,Toyota,Auris,2011,"245,155 km",Diesel,1.4,Ireland,No,10.0,"€5,950"
