index,Make,Model,Year,Mileage,Fuel Type,Engine Size (Litres),Current Country of Reg.,Imported,Total Owners,Price
5358,Volkswagen,Golf,2018,178221,Diesel,1.6,Ireland,No,1.0,9750
5359,Audi,A6,2013,274500,Diesel,2.0,Ireland,UK,4.0,11950
5360,Ford,Focus,2022,24206,Petrol,1.0,Ireland,No,1.0,26990
5361,Volvo,XC90,2019,108425,Petrol Plug-in Hybrid,2.0,Ireland,No,1.0,62900
5362,SEAT,Ateca,2023,8000,Diesel,2.0,Ireland,No,1.0,40495
5363,Audi,A1,2015,60759,Petrol,1.4,Ireland,No,2.0,15950
5364,Land Rover,Discovery Sport,2019,45000,Diesel,2.0,Ireland,No,2.0,35950
5366,Vauxhall,Zafira,2015,299918,Diesel,2.0,Ireland,N. Ireland,2.0,6750
5367,Nissan,Note,2014,117457,Petrol,1.2,Ireland,No,2.0,8950
5368,Volkswagen,ID. Buzz,2024,100,Electric,1.6,Ireland,No,2.0,75500
5369,Nissan,Qashqai,2017,124000,Diesel,1.5,Ireland,UK,1.0,13950
5370,Audi,A1,2012,105000,Petrol,1.4,Ireland,Unknown country,1.0,8750
5371,Mercedes-Benz,A-Class,2024,30,Diesel,2.0,Ireland,No,2.0,65165
5372,Mercedes-Benz,S-Class,2013,232999,Diesel,3.0,Ireland,UK,3.0,16950
5373,Volkswagen,Polo,2018,21446,Petrol,1.0,Ireland,No,2.0,18450
5374,BMW,3-Series,2007,135000,Petrol,2.0,Ireland,No,6.0,7890
5375,Audi,A6,2017,208721,Diesel,2.0,Ireland,UK,1.0,21949
5376,Mercedes-Benz,E-Class,2022,19309,Diesel,2.0,United Kingdom,No,2.0,81950
5377,Renault,Modus,2005,112000,Petrol,1.1,Ireland,No,8.0,1450
5378,Toyota,Corolla,2021,91000,Petrol Hybrid,1.8,Ireland,No,1.0,22895
5379,Volkswagen,Golf,2013,159291,Diesel,1.6,Ireland,No,3.0,8600
5380,Volkswagen,Tiguan Allspace,2023,28890,Diesel,2.0,Ireland,No,1.0,57945
5381,Toyota,Avensis,2014,215000,Diesel,2.2,Ireland,No,3.0,10995
5382,Audi,A5,2013,233305,Diesel,2.0,Ireland,UK,6.0,9750
5383,Honda,Shuttle,2018,60598,Hybrid,1.5,Ireland,No,2.0,15950
5385,Volkswagen,Transporter,2018,152855,Diesel,2.0,Ireland,No,1.0,38950
5386,Honda,CR-V,2016,223999,Diesel,1.6,Ireland,No,3.0,17450
5387,Volkswagen,Golf,2018,28101,Petrol,1.0,Ireland,No,2.0,23495
5388,Toyota,RAV4,2016,196298,Diesel,2.0,Northern Ireland,No,3.0,9302
5389,Renault,Megane,2019,11500,Petrol,1.6,Ireland,Unknown country,1.0,16999
5390,Volkswagen,Passat,2015,232000,Diesel,2.0,Ireland,UK,3.0,11500
5391,Volkswagen,T-Roc,2023,0,Petrol,1.5,Ireland,No,2.0,42945
5392,Dacia,Duster,2013,321800,Diesel,1.5,Ireland,No,3.0,5400
5393,Audi,A4,2014,179886,Diesel,2.0,Ireland,UK,3.0,13950
5395,Suzuki,Swift,2012,273530,Diesel,1.2,Ireland,UK,2.0,5000
5396,BMW,X5,2020,133004,Petrol Plug-in Hybrid,3.0,Ireland,UK,1.0,69895
5397,Audi,A1,2015,170000,Diesel,1.6,Ireland,UK,1.0,9500
5398,BMW,X3,2018,130000,Diesel,2.0,Ireland,No,2.0,41995
5399,Volkswagen,Tiguan,2020,152419,Diesel,2.0,Northern Ireland,No,1.0,34450
5400,Audi,A5,2013,137000,Diesel,2.0,Ireland,No,3.0,14250
5401,Volkswagen,T-CROSS,2021,44327,Petrol,1.0,Ireland,No,1.0,23950
5402,Kia,Sportage,2014,160000,Diesel,1.7,Ireland,No,1.0,11990
5403,Volkswagen,Golf,2016,50001,Petrol,1.2,Ireland,Unknown,1.0,15950
5404,Opel,Corsa,2021,21499,Petrol,1.2,Ireland,No,1.0,19950
5405,Volvo,S60,2016,121,Diesel,2.0,Ireland,No,3.0,12999
5406,Kia,Optima,2012,239000,Diesel,1.7,Ireland,No,7.0,6500
5408,Audi,A3,2019,136000,Diesel,1.6,Ireland,N. Ireland,1.0,24950
5409,Volkswagen,Golf,2015,51000,Petrol,1.2,Ireland,Unknown country,1.0,14750
5410,Volkswagen,Polo,2018,32434,Petrol,1.0,Ireland,No,2.0,17950
5412,Renault,Captur,2014,160000,Diesel,1.5,Ireland,No,3.0,7500
5413,Audi,A4,2018,209170,Diesel,2.0,United Kingdom,No,1.0,19999
5414,BMW,i5,2024,1,Electric,1.6,Ireland,No,2.0,99500
5415,Volkswagen,Polo,2015,57146,Petrol,1.2,Ireland,No,2.0,14450
5416,Fiat,500X,2018,52765,Petrol,1.6,Ireland,No,2.0,16900
5417,Nissan,Serena,2016,120009,Petrol Hybrid,2.0,Other,No,0.0,17500
5418,Kia,EV6,2023,22563,Electric,1.6,Ireland,No,1.0,45945
5419,Volkswagen,Polo,2015,28962,Petrol,1.2,Ireland,No,1.0,12900
5420,Ford,Fiesta,2014,118000,Petrol,1.2,Ireland,No,2.0,7950
5421,Nissan,Qashqai,2009,300883,Diesel,1.5,Ireland,No,7.0,2450
5422,Mercedes-Benz,E-Class,2021,180000,Diesel,2.0,Ireland,No,1.0,51950
5424,Hyundai,Tucson,2021,33906,Diesel,1.6,Ireland,No,1.0,33897
5425,Renault,Megane,2020,61124,Diesel,1.5,Ireland,No,2.0,30000
5426,Volkswagen,Up!,2014,70796,Petrol,1.0,Ireland,Unknown country,1.0,8400
5427,Volkswagen,Passat,2013,207561,Diesel,2.0,Ireland,UK,3.0,10800
5428,Volvo,V40,2014,88495,Petrol,1.6,Other,No,1.0,14500
5429,Audi,e-tron GT,2022,9591,Electric,1.6,Ireland,No,2.0,79995
5430,Skoda,Kodiaq,2022,50000,Diesel,2.0,Ireland,No,1.0,47950
5431,Kia,Picanto,2010,185832,Petrol,1.1,Ireland,No,3.0,3950
5432,Renault,Laguna,2009,444084,Diesel,1.9,Ireland,No,4.0,1500
5433,BMW,5-Series,2019,143798,Petrol Plug-in Hybrid,2.0,United Kingdom,No,1.0,31995
5434,MG,MG5,2023,10,Electric,1.6,Ireland,No,1.0,123
5435,SEAT,Ateca,2021,64000,Diesel,2.0,Ireland,No,1.0,28975
5436,Subaru,XV,2016,154820,Diesel,2.0,Ireland,No,3.0,13950
5437,Jaguar,XE,2016,154382,Diesel,2.0,Ireland,UK,2.0,15495
5438,Mini,ONE,2003,122000,Diesel,1.4,Ireland,UK,4.0,1550
5439,Peugeot,3008,2020,153700,Diesel,1.5,Ireland,No,2.0,22950
5440,Nissan,Qashqai+2,2013,247000,Diesel,1.5,Ireland,No,2.0,5850
5441,Volkswagen,Beetle,2016,88000,Petrol,1.2,Ireland,No,1.0,15950
5442,Volkswagen,Polo,2024,20,Petrol,1.0,Ireland,No,2.0,30255
5443,Ford,Mustang,2024,40,Electric,1.6,Ireland,No,2.0,68210
5444,Peugeot,508,2014,317000,Diesel,1.6,Ireland,No,2.0,4750
5445,Hyundai,IONIQ,2020,57936,Petrol Hybrid,1.6,Ireland,No,1.0,21900
5446,Renault,Kadjar,2018,172000,Diesel,1.5,Ireland,No,1.0,16350
5447,BMW,5-Series,2012,277721,Diesel,2.0,Ireland,UK,2.0,9950
5448,Volkswagen,Tiguan,2016,124980,Diesel,2.0,Ireland,No,2.0,19950
5449,Nissan,Qashqai,2021,77470,Petrol,1.3,Ireland,No,2.0,28495
5450,Citroen,C4,2023,8999,Petrol,1.2,Ireland,No,1.0,25950
5451,Volkswagen,Polo,2012,102000,Petrol,1.2,Ireland,No,2.0,9750
5452,Volkswagen,Passat,2019,230000,Diesel,2.0,Ireland,No,2.0,16950
5453,Volkswagen,Passat,2017,155809,Diesel,1.6,Ireland,UK,1.0,16200
5454,Kia,Sportage,2014,205952,Diesel,1.7,Ireland,UK,1.0,11995
5456,Suzuki,Vitara,2016,114500,Diesel,1.6,Ireland,No,4.0,13950
5457,Toyota,RAV4,2019,89554,Hybrid,2.5,Ireland,No,2.0,32495
5458,Peugeot,2008,2023,8235,Petrol,1.2,Ireland,No,1.0,30950
5459,Renault,Grand Scenic,2020,68000,Diesel,1.8,Ireland,No,1.0,23999
5460,Ford,Focus,2019,104000,Petrol,1.0,Ireland,No,2.0,17500
5461,Skoda,Octavia,2020,52116,Diesel,1.6,Ireland,No,1.0,28450
5462,BMW,4-Series,2017,89540,Diesel,2.0,Ireland,No,1.0,28900
5463,Volkswagen,Passat,2016,140000,Diesel,1.6,Ireland,No,2.0,16950
5464,Volkswagen,ID.7,2024,4,Electric,1.6,Ireland,No,2.0,57800
5465,Renault,Grand Scenic,2020,81884,Diesel,1.8,Ireland,No,3.0,26995
5466,Ford,Kuga,2010,270000,Diesel,2.0,Ireland,No,4.0,3500
5467,Honda,Civic,2019,152607,Diesel,1.6,United Kingdom,No,1.0,18995
5468,BMW,3-Series,2021,47000,Diesel,2.0,Ireland,No,1.0,36500
5469,Ford,Focus,2023,8045,Petrol,1.0,Northern Ireland,No,2.0,22802
5470,Volkswagen,Sharan,2013,130651,Petrol,1.4,Ireland,Unknown country,1.0,14999
5471,BMW,2-Series,2023,15416,Petrol,1.5,Ireland,No,2.0,38950
5472,Volkswagen,Polo,2014,91000,Petrol,1.2,Ireland,Unknown country,1.0,8500
5473,Mercedes-Benz,E-Class,2016,82287,Diesel,2.1,Ireland,UK,2.0,31950
5474,Renault,Megane,2013,271000,Diesel,1.5,Ireland,UK,2.0,4500
5477,Audi,A5,2016,117868,Diesel,2.0,Ireland,No,2.0,19950
5478,Audi,A6,2013,310537,Diesel,2.0,Ireland,UK,1.0,12250
5479,Toyota,bZ4X,2022,15070,Electric,1.6,Ireland,No,1.0,42950
5480,Mercedes-Benz,EQS,2022,19210,Electric,1.6,Ireland,No,1.0,89950
5481,Peugeot,3008,2017,160656,Diesel,1.6,Ireland,No,2.0,19750
5482,Lexus,CT,2016,148028,Hybrid,1.8,Ireland,Unknown,2.0,17850
5483,Ford,Fiesta,2023,21000,Petrol,1.0,Ireland,No,1.0,27950
5484,Toyota,Yaris,2021,87274,Hybrid,1.5,Ireland,No,1.0,17950
5486,Skoda,Octavia,2012,320000,Diesel,1.6,Ireland,No,5.0,3450
5487,Vauxhall,Corsa,2015,60000,Petrol,1.4,Ireland,N. Ireland,2.0,6999
5488,Peugeot,107,2011,177266,Petrol,1.0,Ireland,No,4.0,2250
5489,Audi,A7,2019,52400,Diesel,2.0,Ireland,UK,1.0,51495
5490,Mazda,CX-3,2019,88000,Petrol,2.0,Ireland,No,2.0,14500
5491,BMW,X1,2017,209170,Diesel,2.0,Ireland,Unknown,1.0,16500
5492,Audi,Q3,2024,470,Petrol Plug-in Hybrid,1.4,Ireland,No,1.0,50999
5493,Mitsubishi,Outlander,2015,154464,Petrol Plug-in Hybrid,2.0,Ireland,UK,1.0,0
5494,BMW,4-Series,2015,202332,Diesel,3.0,Ireland,UK,2.0,17950
5495,Fiat,Panda,2013,141431,Petrol,1.2,Ireland,No,4.0,3500
5496,Lexus,CT,2016,124900,Petrol Hybrid,1.8,Ireland,No,1.0,17950
5497,Mercedes-Benz,GLC-Class,2017,100558,Diesel,2.1,Ireland,No,2.0,34895
5498,Skoda,Kodiaq,2020,89800,Diesel,2.0,Ireland,No,2.0,41500
5499,Volkswagen,Passat,2017,57342,Petrol,1.4,Ireland,No,1.0,20900
5500,Audi,A1,2012,194000,Diesel,1.6,Ireland,No,2.0,8000
5501,Skoda,Citigo,2012,104394,Petrol,1.0,Ireland,No,3.0,6250
5503,Volkswagen,Golf,2014,86886,Petrol,1.4,Ireland,No,1.0,14695
5504,Volkswagen,Tiguan Allspace,2019,115000,Diesel,2.0,Ireland,No,2.0,40000
5505,Ford,Mondeo,2019,84000,Diesel,2.0,Ireland,No,1.0,25950
5506,Mini,Cooper,2009,285598,Diesel,1.6,Ireland,UK,4.0,3995
5507,Audi,Q3,2013,189862,Diesel,2.0,Ireland,No,3.0,11500
5508,Volkswagen,Tiguan Allspace,2021,13029,Diesel,2.0,Ireland,No,1.0,48895
5509,Citroen,C5,2008,273593,Diesel,1.6,Ireland,UK,5.0,1995
5510,Audi,A4,2014,274465,Diesel,2.0,Ireland,UK,3.0,8500
5511,Skoda,Superb,2017,151000,Diesel,2.0,Ireland,No,2.0,20500
5512,Skoda,Octavia,2021,79191,Diesel,2.0,Ireland,No,2.0,24950
5513,Volkswagen,Tiguan,2019,143000,Diesel,2.0,Ireland,No,4.0,33950
5514,Audi,A3,2014,97344,Petrol,1.4,Ireland,No,2.0,14995
5515,Ford,Focus,2017,100000,Diesel,1.5,Ireland,No,1.0,16000
5516,Volkswagen,Beetle,2017,108051,Petrol,1.4,Ireland,Unknown,1.0,16750
5517,Volkswagen,Shuttle,2018,102976,Diesel,2.0,Ireland,N. Ireland,1.0,39950
5518,Skoda,Fabia,2018,103497,Petrol,1.0,Ireland,No,2.0,13950
5519,BMW,3-Series,2009,253500,Diesel,2.0,Ireland,No,11.0,4595
5520,Honda,Civic,2002,185347,Petrol,1.4,Ireland,No,3.0,850
5521,Kia,EV6,2023,24996,Electric,1.6,Ireland,No,1.0,46950
5522,BMW,1-Series,2016,151180,Diesel,1.5,Ireland,N. Ireland,3.0,15950
5523,BMW,i5,2023,6260,Electric,1.6,Ireland,No,2.0,104950
5524,Citroen,Berlingo Multispace,2024,0,Diesel,1.5,Ireland,Unknown,0.0,33500
5525,Honda,Fit,2013,133104,Petrol Hybrid,1.3,Ireland,No,2.0,8950
5526,Audi,Q5,2012,133000,Diesel,2.0,Ireland,No,4.0,13950
5527,Peugeot,5008,2019,48000,Diesel,1.5,Ireland,UK,1.0,35950
5528,Kia,Ceed,2017,130220,Diesel,1.6,Other,No,1.0,13495
5529,Hyundai,Santa Fe,2014,218824,Diesel,2.2,Ireland,No,3.0,15950
5530,Toyota,C-HR,2022,60987,Petrol Hybrid,1.8,Ireland,No,1.0,30495
5532,BMW,X2,2021,34580,Petrol Plug-in Hybrid,1.5,Ireland,UK,2.0,41950
5533,Ford,Fiesta,2014,140000,Diesel,1.5,Ireland,No,2.0,8950
5534,Toyota,Corolla,2021,100981,Hybrid,1.8,Ireland,Unknown country,1.0,21950
5535,Toyota,Sienta,2017,107813,Hybrid,1.5,Ireland,No,2.0,16950
5536,Skoda,Superb,2012,364000,Diesel,1.6,Ireland,No,3.0,3900
5537,Toyota,Avensis,2017,128720,Diesel,1.6,Ireland,No,4.0,14950
5538,BMW,5-Series,2018,111900,Diesel,2.0,Ireland,UK,2.0,33995
5539,Audi,Q3,2017,46022,Petrol,1.4,Ireland,No,1.0,24995
5540,Mercedes-Benz,CLA-Class,2015,174000,Diesel,2.1,Ireland,N. Ireland,1.0,19500
5541,Mercedes-Benz,CLA-Class,2018,44543,Petrol,1.6,Ireland,No,2.0,26950
5542,Hyundai,i40,2017,124958,Diesel,1.7,Ireland,Unknown,1.0,14450
5543,Ford,Kuga,2016,180183,Diesel,2.0,Ireland,UK,1.0,14750
5544,Volkswagen,Golf,2017,140000,Diesel,1.6,Ireland,UK,1.0,16000
5545,Honda,Freed,2014,124971,Hybrid,1.5,Ireland,Unknown,0.0,11750
5546,Volkswagen,Golf,2023,23733,Diesel,2.0,United Kingdom,No,1.0,33995
5547,BMW,5-Series,2016,102999,Diesel,2.0,Ireland,UK,2.0,24900
5548,Peugeot,2008,2021,50323,Electric,1.6,Ireland,No,3.0,23950
5549,Nissan,Qashqai,2020,90000,Diesel,1.5,Ireland,No,2.0,27900
5550,Honda,Fit,2019,97701,Petrol Hybrid,1.5,Ireland,Unknown country,2.0,15949
5551,Renault,Megane,2021,70971,Diesel,1.5,Ireland,No,2.0,20990
5552,Nissan,Qashqai,2016,201125,Diesel,1.5,Ireland,No,1.0,13950
5553,Citroen,DS 4,2012,146000,Diesel,1.6,Ireland,No,3.0,7990
5554,Audi,A3,2018,23009,Petrol,1.4,Ireland,No,1.0,25899
5555,Mercedes-Benz,E-Class,2019,64978,Diesel,2.0,Ireland,UK,1.0,46495
5556,Volkswagen,Polo,2012,191000,Petrol,1.2,Ireland,No,6.0,6500
5557,Audi,A3,2015,49086,Petrol,1.4,Ireland,No,2.0,16950
5558,Volkswagen,Golf,2006,155875,Petrol,1.4,Ireland,No,2.0,1950
5559,Renault,Grand Scenic,2011,186322,Diesel,1.5,Ireland,UK,1.0,3950
5560,Renault,Megane,2018,29000,Diesel,1.5,Ireland,No,3.0,14490
5561,Ford,Puma,2022,64574,Petrol Hybrid,1.0,Ireland,No,2.0,23900
5562,Ford,Galaxy,2015,205000,Diesel,2.0,Ireland,No,3.0,12250
5563,Volkswagen,Touareg,2024,10,Petrol Hybrid,3.0,Ireland,No,2.0,118229
5565,Volkswagen,Polo,2018,94308,Petrol,1.0,Ireland,No,2.0,14500
5566,Nissan,March,2017,113000,Petrol,1.2,Ireland,Unknown,1.0,9999
5567,Toyota,Vitz,2018,64000,Petrol Hybrid,1.5,Ireland,Unknown country,1.0,12999
5568,BMW,5-Series,2016,197907,Diesel,2.0,Ireland,UK,2.0,16995
5569,Toyota,SUCCEED,2013,65000,Petrol,1.6,Ireland,Unknown,0.0,9450
5570,Toyota,Corolla,2021,45000,Petrol Hybrid,1.8,Ireland,No,1.0,26995
5571,BMW,8-Series,2022,6164,Diesel,3.0,Ireland,No,1.0,115995
5572,Toyota,Auris,2007,285000,Diesel,1.4,Ireland,No,4.0,900
5573,Audi,A1,2014,79646,Petrol,1.4,Ireland,No,1.0,14899
5574,Nissan,Qashqai,2018,105126,Diesel,1.5,Ireland,No,2.0,20900
5576,Peugeot,208,2014,103545,Petrol,1.0,Ireland,N. Ireland,2.0,8995
5577,Audi,A8,2021,62751,Petrol Plug-in Hybrid,3.0,Ireland,No,1.0,64950
5578,Volkswagen,CC,2012,353980,Diesel,2.0,Ireland,UK,4.0,5250
5579,Hyundai,Tucson,2020,139000,Diesel,1.6,Ireland,No,1.0,24999
5580,BMW,X2,2019,92000,Diesel,2.0,Ireland,UK,2.0,29495
5581,Audi,Q4 e-tron,2023,1999,Electric,1.6,Ireland,No,2.0,52975
5582,Mercedes-Benz,EQC,2022,20996,Electric,1.6,Ireland,UK,2.0,54995
5583,Toyota,Yaris,2016,151246,Diesel,1.4,Ireland,No,1.0,10750
5584,SEAT,MII,2013,99000,Petrol,1.0,Ireland,No,2.0,6950
5585,BMW,5-Series,2015,139000,Diesel,2.0,Ireland,No,2.0,16950
5586,Skoda,Octavia,2015,155767,Diesel,1.6,Ireland,No,3.0,10999
5587,BMW,i4,2023,10458,Electric,1.6,Ireland,No,1.0,69950
5588,Volkswagen,Golf,2017,236523,Diesel,2.0,Ireland,UK,4.0,18900
5589,Hyundai,i30,2013,238000,Diesel,1.4,Ireland,No,4.0,5000
5590,Nissan,Qashqai,2010,268703,Diesel,1.5,Ireland,No,5.0,3900
5591,Ford,Tourneo Connect,2016,236000,Diesel,1.5,Ireland,No,3.0,13950
5592,Land Rover,Range Rover,2016,150810,Diesel,3.0,Ireland,No,2.0,48950
5593,Honda,Insight,2009,128720,Petrol Hybrid,1.3,Ireland,Unknown country,4.0,5449
5594,Mercedes-Benz,GLA-Class,2015,154000,Diesel,1.5,Ireland,No,3.0,17499
5595,Vauxhall,Corsa,2013,281575,Diesel,1.2,Ireland,UK,3.0,3000
5596,Volvo,XC60,2021,66710,Petrol Plug-in Hybrid,2.0,United Kingdom,No,1.0,52900
5597,Volkswagen,Golf,2018,41000,Diesel,1.6,Ireland,No,1.0,22900
5598,Skoda,Octavia,2018,249395,Diesel,1.6,Ireland,No,1.0,13950
5599,Renault,Arkana,2023,17135,Petrol,1.3,Ireland,No,1.0,33495
5600,Honda,Civic,2014,140746,Petrol,1.3,Ireland,N. Ireland,1.0,11995
5602,Nissan,Qashqai,2011,222203,Diesel,1.5,Ireland,N. Ireland,3.0,5500
5603,Audi,A3,2015,59818,Petrol,1.4,Ireland,No,2.0,16950
5604,Ford,Focus,2017,70000,Diesel,1.5,Ireland,No,1.0,14950
5605,Opel,Mokka,2022,22484,Electric,1.6,Ireland,No,1.0,28995
5606,Mazda,MX-30,2021,20000,Electric,1.6,Ireland,No,1.0,20950
5607,Mini,ONE,2004,275139,Diesel,1.4,Ireland,N. Ireland,8.0,3250
5608,BMW,3-Series,2016,198308,Diesel,2.0,Ireland,No,1.0,15950
5609,Volkswagen,Polo,2019,51091,Petrol,1.0,Ireland,No,2.0,18450
5610,Audi,Q5,2010,300000,Diesel,2.0,Ireland,UK,3.0,6750
5611,Nissan,Qashqai,2023,10862,Petrol,1.5,Ireland,No,1.0,46995
5612,Audi,A3,2014,179000,Petrol,1.4,Ireland,UK,1.0,14500
5613,BMW,3-Series,2017,120000,Petrol,1.5,Ireland,UK,2.0,15250
5614,SEAT,Ibiza,2016,180635,Petrol,1.2,Ireland,Unknown,3.0,9450
5615,BMW,3-Series,2020,83526,Petrol Hybrid,2.0,Ireland,No,1.0,33950
5617,Skoda,KAMIQ,2021,63205,Petrol,1.0,Ireland,No,1.0,20950
5619,Opel,Zafira,2013,108366,Diesel,2.0,Ireland,Unknown,1.0,10950
5620,Hyundai,Tucson,2017,1026061,Diesel,1.7,United Kingdom,No,2.0,11694
5621,Hyundai,ix35,2012,229000,Diesel,1.7,Ireland,No,3.0,6250
5622,Audi,A6,2018,87576,Diesel,3.0,Ireland,No,3.0,44950
5623,Ford,Kuga,2011,405784,Diesel,2.0,Ireland,No,4.0,4999
5624,Mazda,6,2014,236523,Diesel,2.2,Ireland,N. Ireland,4.0,7000
5625,Ford,KA,2011,151246,Petrol,1.2,Ireland,UK,4.0,4650
5626,BMW,3-Series,2012,127000,Diesel,2.0,Ireland,UK,3.0,12500
5627,Volkswagen,Golf,2014,112000,Petrol,1.4,Ireland,No,1.0,12950
5628,BMW,X5,2015,160900,Diesel,3.0,Ireland,UK,3.0,41995
5629,Audi,A1,2013,61000,Petrol,1.4,Ireland,No,2.0,12950
5630,Mercedes-Benz,E-Class,2024,29,Diesel Hybrid,2.0,Ireland,No,2.0,87950
5631,Vauxhall,Astra,2016,201125,Diesel,1.6,Ireland,N. Ireland,1.0,10950
5632,Audi,A4,2015,273057,Diesel,2.0,Ireland,UK,1.0,11950
5633,Audi,A3,2012,96000,Petrol,1.4,Ireland,Unknown country,1.0,10450
5634,Skoda,Superb,2017,113000,Diesel,2.0,Ireland,No,3.0,20850
5635,Kia,Rio,2012,183426,Diesel,1.4,Ireland,UK,2.0,4990
5636,Volkswagen,Golf,2024,3,Diesel,2.0,Ireland,No,2.0,42030
5637,Nissan,Note,2018,89409,Hybrid,1.2,Ireland,No,2.0,13950
5638,Volkswagen,Golf,2021,17923,Petrol,1.5,Ireland,No,1.0,32900
5639,Saab,9-3,2006,302482,Petrol,2.0,Ireland,No,7.0,1600
5640,Audi,S3,2014,114239,Petrol,2.0,Ireland,UK,1.0,24795
5641,Mercedes-Benz,GLC-Class,2020,57000,Diesel,2.0,Ireland,No,1.0,53950
5642,Peugeot,3008,2017,112467,Petrol,1.2,Ireland,No,1.0,18900
5643,BMW,5-Series,2018,131938,Diesel,2.0,Ireland,No,1.0,28800
5644,Nissan,Qashqai,2016,233659,Diesel,1.5,Ireland,UK,1.0,11995
5645,Honda,Insight,2013,89272,Petrol Hybrid,1.3,Ireland,Unknown country,2.0,7950
5647,Vauxhall,Corsa,2012,201699,Petrol,1.4,Ireland,UK,2.0,5495
5648,Aston Martin,Vanquish,2017,25080,Petrol,5.9,Ireland,N. Ireland,2.0,199995
5649,Skoda,Superb,2011,350762,Diesel,2.0,Ireland,UK,5.0,5650
5650,Opel,Corsa,2017,96800,Petrol,1.4,Ireland,No,1.0,11500
5651,Volkswagen,Polo,2012,90695,Petrol,1.4,Ireland,Unknown country,1.0,13950
5652,Land Rover,Range Rover Evoque,2017,83898,Diesel,2.0,Ireland,No,3.0,28995
5653,Mercedes-Benz,A-Class,2017,78955,Diesel,1.5,Ireland,UK,1.0,19950
5654,Audi,A3,2021,42275,Petrol,1.0,Ireland,No,1.0,29950
5655,Skoda,Kodiaq,2018,109311,Diesel,2.0,Ireland,UK,2.0,30950
5656,BMW,3-Series,2006,60014,Petrol,2.0,Ireland,UK,1.0,11950
5657,Volkswagen,Polo,2018,59066,Petrol,1.0,Ireland,No,2.0,17950
5658,Peugeot,208,2023,33824,Petrol,1.2,Ireland,No,1.0,22850
5659,BMW,5-Series,2017,220000,Petrol Plug-in Hybrid,2.0,Ireland,UK,3.0,24000
5660,Volvo,V60,2013,220000,Petrol Hybrid,2.4,Ireland,UK,4.0,10350
5661,BMW,5-Series,2013,180000,Diesel,2.0,Ireland,UK,3.0,12950
5662,Volkswagen,Golf,2017,97000,Petrol,1.2,Ireland,Unknown,1.0,18950
5663,Kia,Sportage,2019,82984,Diesel,1.6,Ireland,No,2.0,26450
5664,Volkswagen,Touareg,2020,47948,Diesel,3.0,Ireland,No,1.0,62950
5665,Volvo,V40,2017,138620,Diesel,2.0,Other,No,1.0,16995
5666,BMW,3-Series,2003,386160,Diesel,2.0,Ireland,No,6.0,4200
5667,Nissan,Qashqai+2,2011,276907,Diesel,1.5,Ireland,UK,2.0,4995
5669,Renault,Clio,2017,64683,Petrol,1.1,Ireland,No,2.0,11950
5670,Peugeot,208,2021,30751,Petrol,1.2,Ireland,No,1.0,15995
5671,Ford,Focus,2008,139000,Petrol,1.6,Ireland,No,5.0,3300
5672,Volkswagen,Golf,2014,68000,Petrol,1.4,Ireland,Unknown,0.0,15450
5674,Ford,Fiesta,2017,104000,Petrol,1.0,Ireland,UK,2.0,13950
5675,Mercedes-Benz,C-Class,2016,202734,Diesel,2.1,Ireland,No,1.0,22950
5676,Renault,Zoe,2021,46097,Electric,1.6,Ireland,No,2.0,21995
5677,Renault,Megane,2014,195000,Diesel,1.5,Ireland,UK,1.0,6995
5678,BMW,3-Series,2016,160900,Diesel,2.0,Ireland,UK,0.0,22800
5679,Renault,Clio,2022,56329,Petrol,1.0,Ireland,No,1.0,17490
5680,Volkswagen,Tiguan,2024,100,Diesel,2.0,Ireland,No,2.0,53950
5681,Nissan,Qashqai,2014,151152,Diesel,1.5,Ireland,No,3.0,10950
5682,Volvo,XC90,2015,179373,Diesel,2.0,Ireland,No,3.0,31999
5683,Nissan,Micra,2017,80932,Petrol,1.2,Ireland,No,1.0,11950
5684,BMW,5-Series,2016,116652,Diesel,2.0,Ireland,UK,1.0,19800
5685,Skoda,Octavia,2012,322878,Diesel,1.6,Ireland,UK,3.0,3365
5686,Nissan,Micra,2014,99,Petrol,1.2,Ireland,No,3.0,8295
5687,Toyota,Avensis,2012,319,Diesel,2.0,Ireland,No,4.0,4850
5688,Opel,Zafira,2014,292873,Diesel,2.0,Ireland,No,3.0,7250
5690,BMW,5-Series,2019,120000,Diesel,2.0,Ireland,UK,2.0,38950
5691,Mercedes-Benz,A-Class,2015,125124,Petrol,1.6,Ireland,No,1.0,16950
5692,Volkswagen,Polo,2021,83581,Petrol,1.0,Ireland,No,1.0,19950
5693,Audi,A1,2015,68986,Petrol,1.0,Ireland,No,1.0,13950
5694,Toyota,Corolla,2011,210273,Diesel,1.4,Ireland,No,4.0,5000
5695,Skoda,KAMIQ,2022,19000,Petrol,1.0,Ireland,No,2.0,25500
5696,Nissan,Tiida,2008,299755,Petrol,1.6,Ireland,No,6.0,1300
5697,Honda,Shuttle,2018,118999,Petrol Hybrid,1.5,Ireland,Unknown country,2.0,14950
5698,Volkswagen,Polo,2016,120920,Petrol,1.4,Ireland,Unknown country,2.0,13950
5699,Hyundai,Tucson,2016,77000,Diesel,1.7,Ireland,No,2.0,16950
5701,Renault,Clio,2022,55653,Petrol,1.0,Ireland,No,1.0,17490
5703,Hyundai,Tucson,2024,1,Diesel,1.6,Ireland,No,2.0,36786
